,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Blacksburg,37.23,-80.41,46.4,65,90,12.75,US,1604098792
1,Torbay,47.67,-52.73,36.0,59,75,17.22,CA,1604098749
2,Hobart,-42.88,147.33,62.01,67,20,6.93,AU,1604098641
3,Albany,42.6,-73.97,33.01,88,79,3.29,US,1604098678
4,Portland,45.52,-122.68,62.01,63,75,5.82,US,1604098449
5,Ushuaia,-54.8,-68.3,50.0,71,75,23.04,AR,1604098670
6,Hermanus,-34.42,19.23,45.0,91,0,11.72,ZA,1604098762
7,Naze,28.37,129.48,73.4,60,40,20.8,JP,1604098755
8,Busselton,-33.65,115.33,64.99,67,18,2.39,AU,1604098740
9,Kontagora,10.4,5.47,75.54,40,13,0.78,NG,1604098793
10,Atambua,-9.11,124.89,79.43,69,5,4.23,ID,1604098758
11,Oriximiná,-1.77,-55.87,81.77,73,78,2.59,BR,1604098794
12,Hambantota,6.12,81.12,78.44,81,100,7.34,LK,1604098722
13,Aklavik,68.22,-135.01,5.0,84,75,8.05,CA,1604098665
14,Rikitea,-23.12,-134.97,76.21,65,0,6.06,PF,1604098587
15,Sungai Penuh,-2.08,101.38,64.89,92,98,1.1,ID,1604098795
16,Mar del Plata,-38.0,-57.56,57.2,76,0,8.05,AR,1604098535
17,Ekhabi,53.51,142.97,34.7,85,100,5.84,RU,1604098735
18,Raton,36.9,-104.44,66.2,22,1,13.87,US,1604098796
19,Yellowknife,62.46,-114.35,18.0,85,75,6.93,CA,1604098759
20,Puerto Ayora,-0.74,-90.35,71.01,90,71,4.0,EC,1604098745
21,Bluff,-46.6,168.33,54.0,98,100,11.99,NZ,1604098759
22,Coquimbo,-29.95,-71.34,57.2,76,20,11.41,CL,1604098797
23,Bandarbeyla,9.49,50.81,77.32,84,4,8.41,SO,1604098682
24,Qaanaaq,77.48,-69.36,11.75,85,91,5.14,GL,1604098750
25,Merauke,-8.47,140.33,82.45,72,72,9.42,ID,1604098505
26,Yulara,-25.24,130.99,64.4,25,0,13.87,AU,1604098635
27,Leh,34.17,77.58,25.92,71,24,2.19,IN,1604098798
28,Jamestown,42.1,-79.24,36.0,93,90,6.26,US,1604098528
29,Tasiilaq,65.61,-37.64,35.6,80,100,21.92,GL,1604098752
30,Cape Town,-33.93,18.42,57.99,58,0,21.92,ZA,1604098567
31,Dzaoudzi,-12.79,45.27,78.8,78,0,3.36,YT,1604098799
32,Bardsīr,29.92,56.57,41.0,25,0,6.93,IR,1604098800
33,Porto-Novo,6.5,2.6,82.4,83,20,9.17,BJ,1604098598
34,Avarua,-21.21,-159.78,77.0,73,99,11.41,CK,1604098800
35,Thessalon,46.25,-83.57,32.0,85,1,5.82,CA,1604098801
36,Verkhoyansk,67.54,133.38,-3.82,90,100,3.58,RU,1604098801
37,Seoul,37.57,126.98,48.2,70,1,3.69,KR,1604098800
38,Antofagasta,-23.65,-70.4,60.8,72,20,16.11,CL,1604098729
39,Castro,-24.79,-50.01,53.91,93,100,11.1,BR,1604098804
40,Butaritari,3.07,172.79,82.56,77,70,21.45,KI,1604098805
41,Laguna,38.42,-121.42,80.01,19,1,1.97,US,1604098805
42,Vaini,-21.2,-175.2,77.0,69,40,11.41,TO,1604098744
43,Caravelas,-17.71,-39.25,76.57,81,98,8.72,BR,1604098806
44,Bereket,39.24,55.52,53.01,38,0,8.3,TM,1604098807
45,Chu,43.6,73.76,36.27,76,0,1.16,KZ,1604098808
46,Dikson,73.51,80.55,13.71,96,100,27.89,RU,1604098767
47,Port-Gentil,-0.72,8.78,78.8,94,40,5.82,GA,1604098808
48,Christchurch,-43.53,172.63,77.0,47,87,11.41,NZ,1604098667
49,São Filipe,14.9,-24.5,81.64,59,86,15.61,CV,1604098809
50,Atuona,-9.8,-139.03,77.9,72,82,11.12,PF,1604098753
51,Hilo,19.73,-155.09,84.2,70,75,10.29,US,1604098757
52,Iqaluit,63.75,-68.51,8.6,71,75,2.3,CA,1604098606
53,Kapaa,22.08,-159.32,84.0,69,75,9.17,US,1604098757
54,Geraldton,-28.77,114.6,68.0,88,90,8.05,AU,1604098811
55,Berlevåg,70.86,29.09,28.4,86,75,10.29,NO,1604098811
56,Sitka,57.05,-135.33,42.8,81,90,4.7,US,1604098533
57,Dunedin,-45.87,170.5,64.18,61,100,5.48,NZ,1604098812
58,Bunia,1.57,30.25,60.44,92,75,1.52,CD,1604098813
59,Walvis Bay,-22.96,14.51,55.99,71,66,4.7,NA,1604098813
60,Bitkine,11.98,18.21,86.68,28,72,4.05,TD,1604098814
61,Vestmannaeyjar,63.44,-20.27,46.09,74,47,22.39,IS,1604098815
62,Vinh,18.67,105.67,71.24,95,100,7.25,VN,1604098815
63,Arrondissement de Saint-Dizier,48.42,5.08,55.4,76,90,3.36,FR,1604098816
64,Sibolga,1.74,98.78,76.91,78,93,2.73,ID,1604098668
65,Malé,4.17,73.51,82.13,76,61,9.35,MV,1604098817
66,Norman Wells,65.28,-126.83,14.0,92,90,4.7,CA,1604098817
67,New Norfolk,-42.78,147.06,62.01,53,0,1.99,AU,1604098748
68,Östersund,63.18,14.64,39.99,86,98,16.11,SE,1604098817
69,East London,-33.02,27.91,62.01,68,100,2.53,ZA,1604098600
70,Plettenberg Bay,-34.05,23.37,53.28,69,0,2.89,ZA,1604098818
71,Egvekinot,66.32,-179.17,14.74,84,36,8.3,RU,1604098818
72,Roald,62.58,6.13,48.2,81,99,19.46,NO,1604098819
73,Saint Paul Harbor,57.79,-152.41,32.0,76,90,6.93,US,1604098644
74,Olinda,-8.01,-34.86,82.4,74,75,6.93,BR,1604098758
75,Cherskiy,68.75,161.3,5.5,91,100,5.41,RU,1604098666
76,Rocha,-34.48,-54.33,47.46,82,100,3.85,UY,1604098526
77,Chokurdakh,70.63,147.92,9.03,96,100,7.36,RU,1604098618
78,Mataura,-46.19,168.86,54.0,98,100,11.99,NZ,1604098744
79,Kolokani,13.57,-8.03,77.31,25,0,3.11,ML,1604098821
80,Arraial do Cabo,-22.97,-42.03,71.38,89,100,34.07,BR,1604098588
81,Kahului,20.89,-156.47,87.8,55,40,21.92,US,1604098626
82,Ouésso,1.61,16.05,69.82,96,45,0.67,CG,1604098822
83,Rajanpur,29.1,70.33,63.28,29,0,4.34,PK,1604098822
84,Port Alfred,-33.59,26.89,59.88,63,83,3.71,ZA,1604098767
85,Hokitika,-42.72,170.97,58.32,96,100,11.95,NZ,1604098823
86,Baykit,61.67,96.37,1.44,88,37,3.4,RU,1604098823
87,Gribanovskiy,51.46,41.98,46.13,92,100,7.29,RU,1604098824
88,Ingham,42.6,-84.38,35.6,59,90,3.36,US,1604098824
89,Weligama,5.97,80.42,77.22,87,98,6.06,LK,1604098824
90,Abu Kamal,34.45,40.92,67.96,22,0,9.91,SY,1604098825
91,Brae,60.4,-1.35,50.0,71,32,24.16,GB,1604098825
92,Mianyang,31.46,104.75,60.58,74,100,2.8,CN,1604098826
93,Cidreira,-30.18,-50.21,64.51,66,85,11.1,BR,1604098761
94,Flin Flon,54.77,-101.86,21.2,85,90,9.17,CA,1604098826
95,Texarkana,33.43,-94.05,62.6,42,1,3.36,US,1604098827
96,Taltal,-25.4,-70.48,59.63,68,22,4.07,CL,1604098827
97,George Town,5.41,100.34,80.6,88,20,2.24,MY,1604098747
98,Peniche,39.36,-9.38,60.01,89,0,1.99,PT,1604098828
99,Fortuna,40.6,-124.16,64.99,62,1,10.29,US,1604098829
100,Province of Mantua,45.17,10.78,48.99,95,23,1.01,IT,1604098829
101,Te Anau,-45.42,167.72,53.51,92,100,3.76,NZ,1604098830
102,Hithadhoo,-0.6,73.08,82.98,76,88,10.87,MV,1604098830
103,Jumla,29.27,82.18,43.41,54,5,6.06,NP,1604098831
104,La Rioja,42.25,-2.5,51.01,93,0,6.08,ES,1604098614
105,Faya,18.39,42.45,59.0,41,0,1.21,SA,1604098831
106,Tiznit Province,29.58,-9.5,71.31,23,0,4.76,MA,1604098832
107,Santa Maria,-29.68,-53.81,66.2,52,0,9.17,BR,1604098832
108,Barrow,71.29,-156.79,14.0,85,90,12.75,US,1604098752
